,datatype,trial_start,trial_end
394,qualtrics,2026-04-07 15:50,2026-04-07 15:50
395,qualtrics,2026-04-07 15:50,2026-04-07 15:50
205,accel,51:03.7,52:15.4
396,qualtrics,2026-04-07 15:52,2026-04-07 15:52
397,qualtrics,2026-04-07 15:52,2026-04-07 15:53
206,accel,38:22.4,39:29.4
207,accel,40:11.0,41:29.3
398,qualtrics,2026-04-07 16:41,2026-04-07 16:42
399,qualtrics,2026-04-07 16:41,2026-04-07 16:42
208,accel,42:35.3,43:39.3
400,qualtrics,2026-04-07 16:43,2026-04-07 16:44
401,qualtrics,2026-04-07 16:43,2026-04-07 16:44
209,accel,44:47.6,46:18.3
402,qualtrics,2026-04-07 16:46,2026-04-07 16:46
403,qualtrics,2026-04-07 16:46,2026-04-07 16:46
210,accel,47:11.5,48:28.3
405,qualtrics,2026-04-07 16:48,2026-04-07 16:49
404,qualtrics,2026-04-07 16:48,2026-04-07 16:49
211,accel,49:14.8,50:42.7
406,qualtrics,2026-04-07 16:50,2026-04-07 16:51
407,qualtrics,2026-04-07 16:50,2026-04-07 16:51
213,accel,51:32.3,52:54.9
408,qualtrics,2026-04-07 16:53,2026-04-07 16:53
409,qualtrics,2026-04-07 16:53,2026-04-07 16:53
214,accel,53:55.0,54:51.6
410,qualtrics,2026-04-07 16:55,2026-04-07 16:55
411,qualtrics,2026-04-07 16:55,2026-04-07 16:55
216,accel,55:26.0,56:25.9
412,qualtrics,2026-04-07 16:56,2026-04-07 16:57
413,qualtrics,2026-04-07 16:56,2026-04-07 16:57
